Date,Location,AQI,PM2.5,CO2,Temp,Humidity,Status
2026-03-15,Engineering Faculty,50,25,601,31.91,76,Good
2026-03-16,Engineering Faculty,86,29,917,30.18,109,Moderate
2026-03-17,Engineering Faculty,59,53,477,34.88,100,Moderate
2026-03-18,Engineering Faculty,100,25,752,31.03,101,Moderate
2026-03-19,Engineering Faculty,63,51,745,33.54,86,Moderate
2026-03-20,Engineering Faculty,114,38,467,28.52,91,Unhealthy Sensitive
2026-03-21,Engineering Faculty,50,68,763,31.56,96,Good
2026-03-22,Engineering Faculty,38,50,831,28.34,103,Good
2026-03-23,Engineering Faculty,86,51,507,36.21,99,Moderate
2026-03-24,Engineering Faculty,105,40,892,31.21,86,Unhealthy Sensitive
2026-03-25,Engineering Faculty,47,42,1116,33.92,81,Good
2026-03-26,Engineering Faculty,89,45,540,32.63,103,Moderate
2026-03-27,Engineering Faculty,62,17,630,29.9,83,Moderate
2026-03-28,Engineering Faculty,126,34,604,34.76,86,Unhealthy Sensitive
2026-03-29,Engineering Faculty,87,58,935,32.66,76,Moderate
2026-03-30,Engineering Faculty,89,43,915,37.89,79,Moderate
2026-03-31,Engineering Faculty,96,52,685,28.92,76,Moderate
2026-03-01,Admin Block,48,28,925,38.18,103,Good
2026-03-02,Admin Block,101,55,668,33.71,91,Unhealthy Sensitive
2026-03-03,Admin Block,59,38,759,34.44,93,Moderate
2026-03-04,Admin Block,95,58,753,29.13,87,Moderate
2026-03-05,Admin Block,101,50,934,34.19,91,Unhealthy Sensitive
2026-03-06,Admin Block,37,56,611,34.13,102,Good
2026-03-07,Admin Block,87,50,782,28.98,98,Moderate
2026-03-08,Admin Block,39,67,587,28.07,99,Good
2026-03-09,Admin Block,108,38,547,34.11,81,Unhealthy Sensitive
2026-03-10,Admin Block,118,39,529,34.46,101,Unhealthy Sensitive
2026-03-11,Admin Block,32,19,714,31.63,99,Good
2026-03-12,Admin Block,80,45,1020,37.6,84,Moderate
2026-03-13,Admin Block,46,57,579,29.72,103,Good
2026-03-14,Admin Block,112,25,621,26.32,85,Unhealthy Sensitive
2026-03-15,Admin Block,123,53,1011,29.71,96,Unhealthy Sensitive
2026-03-16,Admin Block,102,19,620,25.55,99,Unhealthy Sensitive
2026-03-17,Admin Block,125,53,599,28.68,82,Unhealthy Sensitive
2026-03-18,Admin Block,59,28,726,31.0,73,Moderate
2026-03-19,Admin Block,89,56,839,29.76,79,Moderate
2026-03-20,Admin Block,100,70,442,33.86,90,Moderate
2026-03-21,Admin Block,36,48,888,34.48,95,Good
2026-03-22,Admin Block,57,30,637,31.54,79,Moderate
2026-03-23,Admin Block,62,66,566,28.34,82,Moderate
2026-03-24,Admin Block,67,62,762,28.49,90,Moderate
2026-03-25,Admin Block,49,50,778,28.2,98,Good
2026-03-26,Admin Block,74,41,747,30.54,95,Moderate
2026-03-27,Admin Block,128,53,562,30.33,81,Unhealthy Sensitive
2026-03-28,Admin Block,94,62,496,35.17,92,Moderate
2026-03-29,Admin Block,128,38,684,33.36,84,Unhealthy Sensitive
2026-03-30,Admin Block,125,38,694,32.77,72,Unhealthy Sensitive
2026-03-31,Admin Block,73,35,1044,32.5,107,Moderate
2026-03-01,Main Gate,59,48,496,31.52,103,Moderate
2026-03-02,Main Gate,49,38,637,29.33,101,Good
2026-03-03,Main Gate,101,38,829,30.86,94,Unhealthy Sensitive
2026-03-04,Main Gate,95,39,676,26.52,85,Moderate
2026-03-05,Main Gate,52,30,736,29.63,85,Moderate
2026-03-06,Main Gate,89,33,949,26.91,80,Moderate
2026-03-07,Main Gate,45,41,938,33.12,77,Good
2026-03-08,Main Gate,94,43,604,37.64,87,Moderate
2026-03-09,Main Gate,90,58,633,25.95,84,Moderate
2026-03-10,Main Gate,73,40,687,27.89,104,Moderate
2026-03-11,Main Gate,115,26,516,37.67,97,Unhealthy Sensitive
2026-03-12,Main Gate,40,28,648,27.84,89,Good
2026-03-13,Main Gate,55,18,468,30.84,85,Moderate
2026-03-14,Main Gate,129,22,942,37.08,107,Unhealthy Sensitive
2026-03-15,Main Gate,52,22,628,31.59,78,Moderate
2026-03-16,Main Gate,115,50,667,37.74,99,Unhealthy Sensitive
2026-03-17,Main Gate,63,41,679,36.84,84,Moderate
2026-03-18,Main Gate,118,66,558,30.19,94,Unhealthy Sensitive
2026-03-19,Main Gate,110,60,798,38.11,93,Unhealthy Sensitive
2026-03-20,Main Gate,106,44,799,31.06,98,Unhealthy Sensitive
2026-03-21,Main Gate,36,65,715,37.54,95,Good
2026-03-22,Main Gate,57,35,850,36.22,77,Moderate
2026-03-23,Main Gate,67,54,628,38.64,93,Moderate
2026-03-24,Main Gate,81,59,778,36.53,80,Moderate
2026-03-25,Main Gate,101,19,594,34.05,86,Unhealthy Sensitive
2026-03-26,Main Gate,45,27,720,26.9,90,Good
2026-03-27,Main Gate,117,42,601,31.23,79,Unhealthy Sensitive
2026-03-28,Main Gate,137,24,653,28.39,82,Unhealthy Sensitive
2026-03-29,Main Gate,79,53,662,34.91,99,Moderate
2026-03-30,Main Gate,113,50,648,33.02,86,Unhealthy Sensitive
2026-03-31,Main Gate,65,27,516,27.6,75,Moderate
