Date,Location,Moisture_Percentage,Health_Status,Irrigation_Status
2026-01-11,Admin Block,48,Normal,Idle
2026-01-12,Admin Block,64,Normal,Idle
2026-01-13,Admin Block,81,Wet,Idle
2026-01-14,Admin Block,72,Normal,Idle
2026-01-15,Admin Block,46,Normal,Idle
2026-01-16,Admin Block,88,Wet,Idle
2026-01-17,Admin Block,74,Normal,Idle
2026-01-18,Admin Block,72,Normal,Idle
2026-01-19,Admin Block,63,Normal,Idle
2026-01-20,Admin Block,38,Normal,Idle
2026-01-21,Admin Block,55,Normal,Idle
2026-01-22,Admin Block,31,Dry,Active
2026-01-23,Admin Block,82,Wet,Idle
2026-01-24,Admin Block,38,Normal,Idle
2026-01-25,Admin Block,38,Normal,Idle
2026-01-26,Admin Block,69,Normal,Idle
2026-01-27,Admin Block,46,Normal,Idle
2026-01-28,Admin Block,30,Dry,Active
2026-01-29,Admin Block,54,Normal,Idle
2026-01-30,Admin Block,72,Normal,Idle
2026-01-31,Admin Block,69,Normal,Idle
2026-02-01,Engineering Faculty,50,Normal,Idle
2026-02-02,Engineering Faculty,56,Normal,Idle
2026-02-03,Engineering Faculty,51,Normal,Idle
2026-02-04,Engineering Faculty,57,Normal,Idle
2026-02-05,Engineering Faculty,91,Wet,Idle
2026-02-06,Engineering Faculty,75,Normal,Idle
2026-02-07,Engineering Faculty,34,Dry,Active
2026-02-08,Engineering Faculty,84,Wet,Idle
2026-02-09,Engineering Faculty,85,Wet,Idle
2026-02-10,Engineering Faculty,77,Wet,Idle
2026-02-11,Engineering Faculty,32,Dry,Active
2026-02-12,Engineering Faculty,97,Wet,Idle
2026-02-13,Engineering Faculty,88,Wet,Idle
2026-02-14,Engineering Faculty,64,Normal,Idle
2026-02-15,Engineering Faculty,84,Wet,Idle
2026-02-16,Engineering Faculty,52,Normal,Idle
2026-02-17,Engineering Faculty,61,Normal,Idle
2026-02-18,Engineering Faculty,50,Normal,Idle
2026-02-19,Engineering Faculty,44,Normal,Idle
2026-02-20,Engineering Faculty,70,Normal,Idle
2026-02-21,Engineering Faculty,42,Normal,Idle
2026-02-22,Engineering Faculty,66,Normal,Idle
2026-02-23,Engineering Faculty,90,Wet,Idle
2026-02-24,Engineering Faculty,91,Wet,Idle
2026-02-25,Engineering Faculty,79,Wet,Idle
2026-02-26,Engineering Faculty,76,Wet,Idle
2026-02-27,Engineering Faculty,69,Normal,Idle
2026-02-28,Engineering Faculty,89,Wet,Idle
2026-02-28,Engineering Faculty,68,Normal,Idle
2026-02-28,Engineering Faculty,78,Wet,Idle
2026-02-28,Engineering Faculty,79,Wet,Idle
2026-02-01,Admin Block,58,Normal,Idle
2026-02-02,Admin Block,87,Wet,Idle
2026-02-03,Admin Block,49,Normal,Idle
2026-02-04,Admin Block,36,Normal,Idle
2026-02-05,Admin Block,98,Wet,Idle
2026-02-06,Admin Block,70,Normal,Idle
2026-02-07,Admin Block,91,Wet,Idle
2026-02-08,Admin Block,72,Normal,Idle
2026-02-09,Admin Block,78,Wet,Idle
2026-02-10,Admin Block,46,Normal,Idle
2026-02-11,Admin Block,48,Normal,Idle
2026-02-12,Admin Block,73,Normal,Idle
2026-02-13,Admin Block,84,Wet,Idle
2026-02-14,Admin Block,75,Normal,Idle
2026-02-15,Admin Block,47,Normal,Idle
2026-02-16,Admin Block,102,Wet,Idle
2026-02-17,Admin Block,85,Wet,Idle
2026-02-18,Admin Block,85,Wet,Idle
2026-02-19,Admin Block,66,Normal,Idle
2026-02-20,Admin Block,41,Normal,Idle
2026-02-21,Admin Block,53,Normal,Idle
2026-02-22,Admin Block,35,Normal,Idle
2026-02-23,Admin Block,80,Wet,Idle
2026-02-24,Admin Block,40,Normal,Idle
2026-02-25,Admin Block,37,Normal,Idle
2026-02-26,Admin Block,70,Normal,Idle
2026-02-27,Admin Block,46,Normal,Idle
2026-02-28,Admin Block,30,Dry,Active
2026-02-28,Admin Block,55,Normal,Idle
2026-02-28,Admin Block,73,Normal,Idle
2026-02-28,Admin Block,76,Wet,Idle
2026-03-01,Engineering Faculty,48,Normal,Idle
2026-03-02,Engineering Faculty,61,Normal,Idle
2026-03-03,Engineering Faculty,59,Normal,Idle
2026-03-04,Engineering Faculty,61,Normal,Idle
2026-03-05,Engineering Faculty,92,Wet,Idle
2026-03-06,Engineering Faculty,81,Wet,Idle
2026-03-07,Engineering Faculty,36,Normal,Idle
2026-03-08,Engineering Faculty,99,Wet,Idle
2026-03-09,Engineering Faculty,89,Wet,Idle
2026-03-10,Engineering Faculty,81,Wet,Idle
2026-03-11,Engineering Faculty,31,Dry,Active
2026-03-12,Engineering Faculty,91,Wet,Idle
2026-03-13,Engineering Faculty,92,Wet,Idle
2026-03-14,Engineering Faculty,70,Normal,Idle
2026-03-15,Engineering Faculty,84,Wet,Idle
2026-03-16,Engineering Faculty,58,Normal,Idle
2026-03-17,Engineering Faculty,66,Normal,Idle
2026-03-18,Engineering Faculty,59,Normal,Idle
2026-03-19,Engineering Faculty,42,Normal,Idle
2026-03-20,Engineering Faculty,78,Wet,Idle
2026-03-21,Engineering Faculty,39,Normal,Idle
2026-03-22,Engineering Faculty,69,Normal,Idle
2026-03-23,Engineering Faculty,86,Wet,Idle
2026-03-24,Engineering Faculty,92,Wet,Idle
2026-03-25,Engineering Faculty,71,Normal,Idle
2026-03-26,Engineering Faculty,73,Normal,Idle
2026-03-27,Engineering Faculty,72,Normal,Idle
2026-03-28,Engineering Faculty,90,Wet,Idle
2026-03-29,Engineering Faculty,61,Normal,Idle
2026-03-30,Engineering Faculty,82,Wet,Idle
2026-03-31,Engineering Faculty,81,Wet,Idle
2026-03-01,Admin Block,60,Normal,Idle
2026-03-02,Admin Block,78,Wet,Idle
2026-03-03,Admin Block,55,Normal,Idle
2026-03-04,Admin Block,36,Normal,Idle
2026-03-05,Admin Block,101,Wet,Idle
2026-03-06,Admin Block,67,Normal,Idle
2026-03-07,Admin Block,98,Wet,Idle
2026-03-08,Admin Block,72,Normal,Idle
2026-03-09,Admin Block,74,Normal,Idle
2026-03-10,Admin Block,56,Normal,Idle
2026-03-11,Admin Block,53,Normal,Idle
2026-03-12,Admin Block,72,Normal,Idle
2026-03-13,Admin Block,108,Wet,Idle
2026-03-14,Admin Block,70,Normal,Idle
2026-03-15,Admin Block,55,Normal,Idle
2026-03-16,Admin Block,95,Wet,Idle
2026-03-17,Admin Block,83,Wet,Idle
2026-03-18,Admin Block,79,Wet,Idle
2026-03-19,Admin Block,68,Normal,Idle
2026-03-20,Admin Block,41,Normal,Idle
2026-03-21,Admin Block,62,Normal,Idle
2026-03-22,Admin Block,31,Dry,Active
2026-03-23,Admin Block,94,Wet,Idle
2026-03-24,Admin Block,41,Normal,Idle
2026-03-25,Admin Block,39,Normal,Idle
2026-03-26,Admin Block,74,Normal,Idle
2026-03-27,Admin Block,54,Normal,Idle
2026-03-28,Admin Block,32,Dry,Active
2026-03-29,Admin Block,61,Normal,Idle
2026-03-30,Admin Block,76,Wet,Idle
2026-03-31,Admin Block,79,Wet,Idle
