Date,Location,pH,Turbidity,DO,Conductivity,Status
2026-01-01,Colleges,6.52,5.0,6.9,177,Normal
2026-01-02,Colleges,6.92,5.7,8.0,163,Normal
2026-01-03,Colleges,6.37,3.1,7.7,300,Warning
2026-01-04,Colleges,7.28,6.3,5.4,187,Normal
2026-01-05,Colleges,7.33,3.9,6.1,177,Normal
2026-01-06,Colleges,6.05,4.6,5.8,275,Warning
2026-01-07,Colleges,6.3,9.1,7.4,217,Warning
2026-01-08,Colleges,6.89,7.2,6.9,260,Normal
2026-01-09,Colleges,7.84,6.5,7.3,232,Normal
2026-01-10,Colleges,6.95,4.7,8.6,213,Normal
2026-01-11,Colleges,7.43,4.8,8.9,270,Normal
2026-01-12,Colleges,6.59,2.8,5.6,261,Normal
2026-01-13,Colleges,6.4,3.5,6.1,244,Warning
2026-01-14,Colleges,6.14,8.7,5.2,180,Warning
2026-01-15,Colleges,7.03,9.9,5.4,215,Normal
2026-01-16,Colleges,7.44,9.3,5.0,267,Normal
2026-01-17,Colleges,6.64,3.4,7.7,334,Normal
2026-01-18,Colleges,7.8,6.3,6.9,322,Normal
2026-01-19,Colleges,7.92,3.5,6.3,168,Normal
2026-01-20,Colleges,6.5,7.9,7.1,150,Normal
2026-01-21,Colleges,7.53,4.3,7.3,288,Normal
2026-01-22,Colleges,8.33,4.6,7.4,283,Normal
2026-01-23,Colleges,6.84,3.1,5.3,321,Normal
2026-01-24,Colleges,6.5,7.5,5.4,212,Normal
2026-01-25,Colleges,7.7,8.1,7.4,301,Normal
2026-01-26,Colleges,7.52,8.4,5.4,218,Normal
2026-01-27,Colleges,8.08,9.7,5.5,269,Normal
2026-01-28,Colleges,8.48,3.6,6.5,150,Normal
2026-01-29,Colleges,7.85,6.6,8.4,221,Normal
2026-01-30,Colleges,8.07,8.0,8.2,184,Normal
2026-01-31,Colleges,6.41,8.5,7.7,303,Warning
2026-02-01,Campus Lake,8.02,8.14,8.27,393,Normal
2026-02-02,Campus Lake,6.99,9.34,7.53,159,Normal
2026-02-03,Campus Lake,6.17,4.99,8.52,366,Warning
2026-02-04,Campus Lake,8.35,8.0,8.19,237,Normal
2026-02-05,Campus Lake,8.24,9.02,7.37,275,Normal
2026-02-06,Campus Lake,6.72,2.25,5.33,354,Normal
2026-02-07,Campus Lake,9.71,11.05,7.38,217,Warning
2026-02-08,Campus Lake,9.78,8.82,6.71,238,Warning
2026-02-09,Campus Lake,7.64,4.56,6.45,152,Normal
2026-02-10,Campus Lake,7.37,7.65,7.23,258,Normal
2026-02-11,Campus Lake,7.41,2.31,7.74,324,Normal
2026-02-12,Campus Lake,8.61,6.23,8.48,228,Warning
2026-02-13,Campus Lake,9.23,2.44,9.53,301,Warning
2026-02-14,Campus Lake,6.45,2.43,8.92,249,Warning
2026-02-15,Campus Lake,7.61,9.19,8.8,364,Normal
2026-02-16,Campus Lake,6.34,4.96,8.34,185,Warning
2026-02-17,Campus Lake,7.68,2.85,8.33,342,Normal
2026-02-18,Campus Lake,7.29,10.05,6.83,260,Normal
2026-02-19,Campus Lake,8.91,9.18,6.04,367,Warning
2026-02-20,Campus Lake,8.98,8.35,5.3,211,Warning
2026-02-21,Campus Lake,8.92,6.48,6.37,203,Warning
2026-02-22,Campus Lake,7.52,2.53,6.11,387,Normal
2026-02-23,Campus Lake,7.32,5.55,8.03,278,Normal
2026-02-24,Campus Lake,6.7,4.65,8.82,347,Normal
2026-02-25,Campus Lake,7.34,10.56,7.35,216,Normal
2026-02-26,Campus Lake,5.72,3.56,6.56,223,Warning
2026-02-27,Campus Lake,6.35,6.1,8.33,172,Warning
2026-02-28,Campus Lake,6.8,5.49,6.9,209,Normal
2026-02-28,Campus Lake,7.76,2.72,7.26,223,Normal
2026-02-28,Campus Lake,8.9,9.41,5.9,195,Warning
2026-02-28,Campus Lake,8.08,2.87,7.73,354,Normal
2026-02-01,Colleges,7.57,5.59,7.43,183,Normal
2026-02-02,Colleges,7.77,5.64,7.89,178,Normal
2026-02-03,Colleges,6.91,3.27,8.28,349,Normal
2026-02-04,Colleges,7.55,6.78,5.61,195,Normal
2026-02-05,Colleges,7.27,4.26,6.77,176,Normal
2026-02-06,Colleges,6.22,4.88,6.5,307,Warning
2026-02-07,Colleges,7.03,9.35,8.92,226,Normal
2026-02-08,Colleges,8.01,7.2,7.48,239,Normal
2026-02-09,Colleges,8.96,6.86,7.81,255,Warning
2026-02-10,Colleges,7.09,4.63,9.13,217,Normal
2026-02-11,Colleges,7.3,4.2,9.16,282,Normal
2026-02-12,Colleges,6.98,3.01,5.99,279,Normal
2026-02-13,Colleges,6.04,3.86,6.3,259,Warning
2026-02-14,Colleges,6.57,7.9,5.51,197,Normal
2026-02-15,Colleges,7.32,9.8,6.1,220,Normal
2026-02-16,Colleges,7.6,10.11,4.95,289,Normal
2026-02-17,Colleges,6.34,3.99,8.61,345,Warning
2026-02-18,Colleges,8.43,6.62,7.79,352,Normal
2026-02-19,Colleges,8.06,3.52,6.57,183,Normal
2026-02-20,Colleges,6.37,8.21,6.55,149,Warning
2026-02-21,Colleges,6.61,4.87,7.4,321,Normal
2026-02-22,Colleges,8.73,4.65,8.35,288,Warning
2026-02-23,Colleges,7.91,3.11,5.56,353,Normal
2026-02-24,Colleges,7.47,7.66,5.35,227,Normal
2026-02-25,Colleges,7.87,8.04,7.55,349,Normal
2026-02-26,Colleges,7.62,8.88,5.94,226,Normal
2026-02-27,Colleges,8.71,11.13,5.96,277,Warning
2026-02-28,Colleges,8.4,3.85,6.73,157,Normal
2026-02-28,Colleges,8.38,6.83,8.64,228,Normal
2026-02-28,Colleges,8.84,8.26,8.42,202,Warning
2026-02-28,Colleges,7.2,8.13,7.66,289,Normal
2026-03-01,Campus Lake,8.68,9.08,8.19,355,Warning
2026-03-02,Campus Lake,6.43,9.91,8.27,172,Warning
2026-03-03,Campus Lake,7.02,6.07,9.41,399,Normal
2026-03-04,Campus Lake,8.35,8.77,6.57,217,Normal
2026-03-05,Campus Lake,8.87,9.2,8.13,235,Warning
2026-03-06,Campus Lake,6.9,2.12,5.3,375,Normal
2026-03-07,Campus Lake,9.39,9.92,8.37,236,Warning
2026-03-08,Campus Lake,9.78,8.84,7.01,276,Warning
2026-03-09,Campus Lake,6.8,4.46,6.31,157,Normal
2026-03-10,Campus Lake,7.32,8.37,8.07,272,Normal
2026-03-11,Campus Lake,7.73,2.21,7.24,355,Normal
2026-03-12,Campus Lake,8.96,7.15,9.13,222,Warning
2026-03-13,Campus Lake,9.36,2.89,8.87,370,Warning
2026-03-14,Campus Lake,7.35,2.44,9.17,236,Normal
2026-03-15,Campus Lake,7.13,10.05,10.14,380,Normal
2026-03-16,Campus Lake,6.89,5.54,8.76,202,Normal
2026-03-17,Campus Lake,7.84,2.93,8.42,367,Normal
2026-03-18,Campus Lake,7.06,9.73,6.74,282,Normal
2026-03-19,Campus Lake,9.23,9.32,5.59,372,Warning
2026-03-20,Campus Lake,9.59,8.67,5.57,235,Warning
2026-03-21,Campus Lake,9.23,6.42,7.29,214,Warning
2026-03-22,Campus Lake,7.64,2.71,6.58,358,Normal
2026-03-23,Campus Lake,8.93,5.68,8.0,320,Warning
2026-03-24,Campus Lake,7.6,5.3,9.15,371,Normal
2026-03-25,Campus Lake,8.74,10.65,8.13,225,Warning
2026-03-26,Campus Lake,6.98,3.61,6.81,231,Normal
2026-03-27,Campus Lake,6.72,7.1,7.47,188,Normal
2026-03-28,Campus Lake,6.55,5.52,7.88,213,Normal
2026-03-29,Campus Lake,7.38,2.79,7.39,204,Normal
2026-03-30,Campus Lake,8.58,11.14,5.72,206,Warning
2026-03-31,Campus Lake,10.05,2.95,8.38,344,Warning
2026-03-01,Colleges,7.1,5.51,7.59,188,Normal
2026-03-02,Colleges,7.66,6.51,8.59,173,Normal
2026-03-03,Colleges,7.22,3.45,8.42,355,Normal
2026-03-04,Colleges,8.03,7.29,5.91,182,Normal
2026-03-05,Colleges,8.81,4.36,6.57,228,Warning
2026-03-06,Colleges,6.43,4.89,6.29,320,Warning
2026-03-07,Colleges,7.0,10.21,8.85,242,Normal
2026-03-08,Colleges,7.27,7.43,7.82,285,Normal
2026-03-09,Colleges,8.0,7.19,7.9,259,Normal
2026-03-10,Colleges,7.39,5.16,9.82,241,Normal
2026-03-11,Colleges,8.16,5.22,9.61,307,Normal
2026-03-12,Colleges,7.08,3.06,6.55,296,Normal
2026-03-13,Colleges,6.77,3.45,6.85,270,Normal
2026-03-14,Colleges,6.24,9.28,5.69,196,Warning
2026-03-15,Colleges,7.7,10.95,6.09,235,Normal
2026-03-16,Colleges,7.51,10.32,5.03,291,Normal
2026-03-17,Colleges,7.61,3.53,7.95,390,Normal
2026-03-18,Colleges,8.62,7.41,7.1,366,Warning
2026-03-19,Colleges,8.02,3.67,6.98,155,Normal
2026-03-20,Colleges,7.03,9.15,8.55,171,Normal
2026-03-21,Colleges,7.94,4.84,9.01,320,Normal
2026-03-22,Colleges,9.32,4.88,8.42,311,Warning
2026-03-23,Colleges,8.07,3.74,5.99,346,Normal
2026-03-24,Colleges,6.42,7.71,5.36,247,Warning
2026-03-25,Colleges,8.52,9.36,7.9,348,Warning
2026-03-26,Colleges,8.2,9.74,5.68,230,Normal
2026-03-27,Colleges,9.21,10.28,5.85,302,Warning
2026-03-28,Colleges,9.44,4.26,7.08,156,Warning
2026-03-29,Colleges,8.28,7.16,9.0,225,Normal
2026-03-30,Colleges,8.72,8.94,8.05,195,Warning
2026-03-31,Colleges,6.74,9.48,8.82,349,Normal
